Date,Region,Product,Revenue,Quantity,Customer_Age,Category,Sales_Rep,Discount
2024-01-01,North,Laptop,1500,5,25,Electronics,John Smith,0.1
2024-01-02,South,Smartphone,1200,8,34,Electronics,Sarah Jones,0.05
2024-01-03,East,Tablet,1800,6,45,Electronics,Mike Brown,0.15
2024-01-04,West,Headphones,200,15,28,Accessories,Lisa Davis,0.2
2024-01-05,North,Keyboard,150,20,52,Accessories,John Smith,0.1
2024-01-06,South,Mouse,80,25,31,Accessories,Sarah Jones,0.05
2024-01-07,East,Monitor,800,4,38,Electronics,Mike Brown,0.12
2024-01-08,West,Webcam,300,12,29,Electronics,Lisa Davis,0.18
2024-01-09,North,Speaker,450,8,33,Electronics,John Smith,0.08
2024-01-10,South,Cable,25,50,41,Accessories,Sarah Jones,0.03
2024-01-11,East,Charger,35,40,27,Accessories,Mike Brown,0.07
2024-01-12,West,Case,45,30,35,Accessories,Lisa Davis,0.1
2024-01-13,North,Laptop,1600,3,42,Electronics,John Smith,0.12
2024-01-14,South,Smartphone,1100,10,29,Electronics,Sarah Jones,0.08
2024-01-15,East,Tablet,1750,7,48,Electronics,Mike Brown,0.14
2024-01-16,West,Headphones,180,18,32,Accessories,Lisa Davis,0.22
2024-01-17,North,Monitor,850,5,36,Electronics,John Smith,0.09
2024-01-18,South,Webcam,320,14,26,Electronics,Sarah Jones,0.16
2024-01-19,East,Speaker,420,9,39,Electronics,Mike Brown,0.11
2024-01-20,West,Laptop,1550,4,44,Electronics,Lisa Davis,0.13
